V4_1,Data Marking,calendar-years,Time,mmm,Month,administrative-geography,Geography,property-type,PropertyType,build-status,BuildStatus,house-sales-and-prices,HouseSalesAndPrices
,.,2022,2022,dec,December,E08000002,Bury,all,All,all,All,sales,Count of sales
,.,2022,2022,dec,December,E08000002,Bury,all,All,all,All,lower-quartile,Lower quartile price
,.,2022,2022,dec,December,E08000002,Bury,all,All,all,All,mean,Mean price
,.,2022,2022,dec,December,E08000002,Bury,all,All,all,All,median,Median price
3875.0,,2018,2018,dec,December,E08000001,Bolton,all,All,all,All,sales,Count of sales
3422.0,,2020,2020,dec,December,E08000001,Bolton,all,All,all,All,sales,Count of sales
3778.0,,2019,2019,dec,December,E08000001,Bolton,all,All,all,All,sales,Count of sales
4100.0,,2021,2021,dec,December,E08000001,Bolton,all,All,all,All,sales,Count of sales
128000.0,,2017,2017,dec,December,E08000001,Bolton,all,All,all,All,median,Median price
4030.0,,2017,2017,dec,December,E08000001,Bolton,all,All,all,All,sales,Count of sales
138000.0,,2019,2019,dec,December,E08000001,Bolton,all,All,all,All,median,Median price
148000.0,,2020,2020,dec,December,E08000001,Bolton,all,All,all,All,median,Median price
162000.0,,2021,2021,dec,December,E08000001,Bolton,all,All,all,All,median,Median price
175367.88136,,2020,2020,dec,December,E08000001,Bolton,all,All,all,All,mean,Mean price
196901.60195,,2021,2021,dec,December,E08000001,Bolton,all,All,all,All,mean,Mean price
135000.0,,2018,2018,dec,December,E08000001,Bolton,all,All,all,All,median,Median price
153002.93449,,2017,2017,dec,December,E08000001,Bolton,all,All,all,All,mean,Mean price
160083.87148,,2018,2018,dec,December,E08000001,Bolton,all,All,all,All,mean,Mean price
163395.75013,,2019,2019,dec,December,E08000001,Bolton,all,All,all,All,mean,Mean price
105000.0,,2020,2020,dec,December,E08000001,Bolton,all,All,all,All,lower-quartile,Lower quartile price
120000.0,,2021,2021,dec,December,E08000001,Bolton,all,All,all,All,lower-quartile,Lower quartile price
89995.0,,2017,2017,dec,December,E08000001,Bolton,all,All,all,All,lower-quartile,Lower quartile price
67750.0,,2017,2017,dec,December,E08000001,Bolton,all,All,all,All,tenth-percentile,Tenth percentile price
93500.0,,2018,2018,dec,December,E08000001,Bolton,all,All,all,All,lower-quartile,Lower quartile price
97000.0,,2019,2019,dec,December,E08000001,Bolton,all,All,all,All,lower-quartile,Lower quartile price
80000.0,,2020,2020,dec,December,E08000001,Bolton,all,All,all,All,tenth-percentile,Tenth percentile price
74000.0,,2019,2019,dec,December,E08000001,Bolton,all,All,all,All,tenth-percentile,Tenth percentile price
87500.0,,2021,2021,dec,December,E08000001,Bolton,all,All,all,All,tenth-percentile,Tenth percentile price
